pl_name,hostname,discoverymethod,disc_year,period,prad,teq,insol,dor,srad,smass,sage,steff,slogg,smet,ra,dec,disposition,source
Kepler-179 b,Kepler-179,Transit,2014,2.735900074,1.56,1075.0,315.95,10.82,0.766,0.856,,5299.0,4.597,-0.14,298.6636163,47.7619329,CONFIRMED,PS
Kepler-179 b,Kepler-179,Transit,2014,2.735903375,1.58,1072.0,312.39,10.778,0.761,0.849,,5294.0,4.599,-0.16,298.6636163,47.7619329,CONFIRMED,PS
Kepler-179 b,Kepler-179,Transit,2014,2.735903375,1.8,,,,0.87,0.91,4.27,5475.0,4.52,-0.02,298.6636163,47.7619329,CONFIRMED,PS
Kepler-179 b,Kepler-179,Transit,2014,2.735926,1.64,,,,0.759,,,5302.0,4.613,,298.6636163,47.7619329,CONFIRMED,PS
Kepler-179 b,Kepler-179,Transit,2014,2.73589,1.7,1056.0,,6.6,0.738,0.842,0.6,5289.0,4.63,,298.6636163,47.7619329,CONFIRMED,PS
Kepler-179 b,Kepler-179,Transit,2014,2.735903375,1.708,,338.9,,0.821,0.893,1.74,5257.0,,0.12,298.6636163,47.7619329,CONFIRMED,PS
Kepler-179 b,Kepler-179,Transit,2014,2.735903375,1.58,1072.0,312.39,10.778,0.761,0.849,,5294.0,4.599,-0.16,298.6636163,47.7619329,CONFIRMED,PS
Kepler-179 b,Kepler-179,Transit,2014,2.735903375,1.58,1072.0,312.39,10.778,0.761,0.849,,5294.0,4.599,-0.16,298.6636163,47.7619329,CONFIRMED,PS
Kepler-165 c,Kepler-165,Transit,2014,15.31296388,2.34,581.0,26.98,31.4,0.77,0.864,,5081.0,4.596,0.12,280.69092,47.8096702,CONFIRMED,PS
Kepler-165 c,Kepler-165,Transit,2014,15.31299,2.23,,,,0.77,,,5211.0,4.542,,280.69092,47.8096702,CONFIRMED,PS
Kepler-165 c,Kepler-165,Transit,2014,15.31297659,2.24,605.0,31.71,39.38,0.755,0.733,,5208.0,4.546,-0.32,280.69092,47.8096702,CONFIRMED,PS
Kepler-165 c,Kepler-165,Transit,2014,15.31297659,2.186,,27.6,,0.738,0.746,8.32,5100.0,,-0.25,280.69092,47.8096702,CONFIRMED,PS
Kepler-165 c,Kepler-165,Transit,2014,15.31297659,2.24,605.0,31.71,39.38,0.755,0.733,,5208.0,4.546,-0.32,280.69092,47.8096702,CONFIRMED,PS
Kepler-165 c,Kepler-165,Transit,2014,15.31307,2.49,613.0,,29.0,0.79,0.79,10.5,5236.0,4.54,,280.69092,47.8096702,CONFIRMED,PS
Kepler-165 c,Kepler-165,Transit,2014,15.31297659,2.24,605.0,31.71,39.38,0.755,0.733,,5208.0,4.546,-0.32,280.69092,47.8096702,CONFIRMED,PS
Kepler-165 c,Kepler-165,Transit,2014,15.31297659,2.25,,,,0.76,0.8,5.01,5108.0,4.58,-0.12,280.69092,47.8096702,CONFIRMED,PS
Kepler-228 c,Kepler-228,Transit,2014,4.13443005,3.02,1160.0,427.65,6.52,0.972,1.053,,6046.0,4.486,-0.08,296.2860853,48.2246328,CONFIRMED,PS
Kepler-228 c,Kepler-228,Transit,2014,4.13443512,2.77,1160.0,427.65,6.96,0.972,1.053,,6046.0,4.486,-0.08,296.2860853,48.2246328,CONFIRMED,PS
Kepler-228 c,Kepler-228,Transit,2014,4.134403,2.8,1138.0,,5.66,0.94,1.04,0.3,6014.0,4.51,,296.2860853,48.2246328,CONFIRMED,PS
